第15任總統副總統選舉候選人在新北市各鄉(鎮、市、區)得票數一覽表,,,,,,,,,,,
鄉(鎮、市、區)別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
總　計,"112,620","959,631","1,393,936","2,466,187","28,041","2,494,228",71,"2,494,299","827,160","3,321,459",75.0943
　板橋區,"15,719","123,922","204,134","343,775","4,051","347,826",10,"347,836","107,164","455,000",76.4453
　三重區,"11,087","78,055","154,104","243,246","2,762","246,008",2,"246,010","77,100","323,110",76.1375
　中和區,"12,066","120,502","131,784","264,352","3,243","267,595",14,"267,609","81,616","349,225",76.6254
　永和區,"6,286","69,190","63,595","139,071","1,680","140,751",3,"140,754","42,976","183,730",76.6075
　新莊區,"11,772","83,491","157,610","252,873","2,576","255,449",9,"255,458","83,350","338,808",75.3964
　新店區,"8,175","99,844","85,143","193,162","2,195","195,357",13,"195,370","64,973","260,343",75.0383
　樹林區,"5,318","38,429","66,415","110,162","1,289","111,451",1,"111,452","37,115","148,567",75.0173
　鶯歌區,"2,510","18,102","31,079","51,691",568,"52,259",5,"52,264","18,153","70,417",74.2136
　三峽區,"3,027","25,338","38,077","66,442",766,"67,208",0,"67,208","25,217","92,425",72.7163
　淡水區,"5,054","44,807","57,672","107,533","1,212","108,745",1,"108,746","40,461","149,207",72.8820
　汐止區,"5,850","53,644","67,350","126,844","1,311","128,155",5,"128,160","44,519","172,679",74.2157
　瑞芳區,"1,023","10,072","12,238","23,333",263,"23,596",0,"23,596","10,293","33,889",69.6273
　土城區,"6,899","52,751","85,443","145,093","1,712","146,805",1,"146,806","49,744","196,550",74.6909
　蘆洲區,"5,504","36,875","78,858","121,237","1,383","122,620",2,"122,622","41,143","163,765",74.8756
　五股區,"2,391","17,969","32,282","52,642",576,"53,218",0,"53,218","19,101","72,319",73.5879
　泰山區,"2,052","16,715","27,918","46,685",561,"47,246",0,"47,246","15,565","62,811",75.2193
　林口區,"3,501","26,140","36,053","65,694",677,"66,371",3,"66,374","22,269","88,643",74.8745
　深坑區,617,"6,374","8,052","15,043",154,"15,197",0,"15,197","4,990","20,187",75.2811
　石碇區,171,"1,592","3,035","4,798",52,"4,850",0,"4,850","1,818","6,668",72.7355
　坪林區,132,"1,362","2,688","4,182",47,"4,229",0,"4,229","1,655","5,884",71.8729
　三芝區,512,"5,605","7,359","13,476",164,"13,640",0,"13,640","5,913","19,553",69.7591
　石門區,249,"2,871","3,837","6,957",90,"7,047",0,"7,047","3,014","10,061",70.0427
　八里區,"1,083","8,736","13,576","23,395",261,"23,656",0,"23,656","9,013","32,669",72.4112
　平溪區,97,"1,174","1,598","2,869",28,"2,897",0,"2,897","1,263","4,160",69.6394
　雙溪區,191,"2,165","2,815","5,171",55,"5,226",2,"5,228","2,514","7,742",67.5019
　貢寮區,234,"2,113","4,721","7,068",70,"7,138",0,"7,138","3,681","10,819",65.9765
　金山區,465,"4,693","7,664","12,822",129,"12,951",0,"12,951","5,368","18,319",70.6971
　萬里區,462,"5,206","7,213","12,881",129,"13,010",0,"13,010","5,746","18,756",69.3645
　烏來區,173,"1,894","1,623","3,690",37,"3,727",0,"3,727","1,426","5,153",72.3268
