第15任總統副總統選舉候選人在桃園市各鄉(鎮、市、區)得票數一覽表,,,,,,,,,,,
鄉(鎮、市、區)別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
總　計,"63,132","529,749","718,260","1,311,141","14,066","1,325,207",55,"1,325,262","455,493","1,780,755",74.4183
　桃園區,"12,661","102,460","146,904","262,025","2,746","264,771",1,"264,772","90,615","355,387",74.5022
　中壢區,"11,902","107,499","126,600","246,001","2,611","248,612",32,"248,644","82,235","330,879",75.1368
　大溪區,"2,393","21,126","32,801","56,320",614,"56,934",0,"56,934","19,952","76,886",74.0499
　楊梅區,"4,906","42,840","51,449","99,195","1,062","100,257",2,"100,259","36,268","136,527",73.4338
　蘆竹區,"4,593","33,227","55,967","93,787","1,001","94,788",2,"94,790","32,635","127,425",74.3873
　大園區,"2,594","18,096","33,375","54,065",592,"54,657",2,"54,659","19,249","73,908",73.9528
　龜山區,"4,810","35,968","54,130","94,908","1,062","95,970",11,"95,981","34,981","130,962",73.2808
　八德區,"5,630","50,043","64,446","120,119","1,305","121,424",0,"121,424","42,696","164,120",73.9849
　龍潭區,"3,468","34,250","35,605","73,323",774,"74,097",1,"74,098","25,662","99,760",74.2753
　平鎮區,"6,637","57,200","71,172","135,009","1,486","136,495",4,"136,499","44,110","180,609",75.5749
　新屋區,"1,392","10,891","18,437","30,720",339,"31,059",0,"31,059","9,466","40,525",76.6416
　觀音區,"1,913","12,106","25,336","39,355",420,"39,775",0,"39,775","14,398","54,173",73.4222
　復興區,233,"4,043","2,038","6,314",54,"6,368",0,"6,368","3,226","9,594",66.3748
