第15任總統副總統選舉候選人在臺中市各鄉(鎮、市、區)得票數一覽表,,,,,,,,,,,
鄉(鎮、市、區)別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
總　計,"84,800","646,366","967,304","1,698,470","20,550","1,719,020",33,"1,719,053","532,011","2,251,064",76.3648
　中區,442,"3,823","5,793","10,058",106,"10,164",0,"10,164","4,066","14,230",71.4266
　東區,"2,251","17,435","28,114","47,800",582,"48,382",4,"48,386","14,444","62,830",77.0046
　南區,"4,025","29,485","44,098","77,608",887,"78,495",0,"78,495","23,184","101,679",77.1988
　西區,"3,366","26,998","39,708","70,072",807,"70,879",0,"70,879","21,849","92,728",76.4375
　北區,"4,341","37,248","49,011","90,600","1,033","91,633",1,"91,634","30,469","122,103",75.0457
　西屯區,"6,950","54,982","74,475","136,407","1,729","138,136",4,"138,140","42,868","181,008",76.3149
　南屯區,"5,261","39,433","57,752","102,446","1,231","103,677",2,"103,679","30,281","133,960",77.3940
　北屯區,"8,468","69,589","92,862","170,919","1,835","172,754",7,"172,761","53,414","226,175",76.3807
　豐原區,"4,940","36,221","61,642","102,803","1,216","104,019",2,"104,021","29,243","133,264",78.0548
　東勢區,"1,337","14,329","15,345","31,011",447,"31,458",1,"31,459","10,311","41,770",75.3124
　大甲區,"2,179","16,136","26,632","44,947",601,"45,548",0,"45,548","15,292","60,840",74.8652
　清水區,"2,497","17,746","31,871","52,114",704,"52,818",0,"52,818","17,647","70,465",74.9564
　沙鹿區,"3,176","20,587","32,197","55,960",698,"56,658",0,"56,658","16,441","73,099",77.5086
　梧棲區,"1,723","11,715","20,702","34,140",467,"34,607",0,"34,607","11,711","46,318",74.7161
　后里區,"1,716","12,882","19,004","33,602",473,"34,075",0,"34,075","9,716","43,791",77.8128
　神岡區,"1,930","13,290","25,843","41,063",500,"41,563",0,"41,563","11,700","53,263",78.0335
　潭子區,"3,424","24,947","38,953","67,324",792,"68,116",1,"68,117","19,535","87,652",77.7119
　大雅區,"2,881","21,934","32,792","57,607",733,"58,340",5,"58,345","16,881","75,226",77.5530
　新社區,668,"6,290","8,231","15,189",218,"15,407",0,"15,407","4,775","20,182",76.3403
　石岡區,444,"4,052","4,938","9,434",146,"9,580",0,"9,580","2,861","12,441",77.0035
　外埔區,961,"7,955","10,530","19,446",244,"19,690",1,"19,691","6,694","26,385",74.6257
　大安區,498,"4,237","6,885","11,620",146,"11,766",0,"11,766","4,238","16,004",73.5191
　烏日區,"2,378","17,101","26,838","46,317",571,"46,888",1,"46,889","13,509","60,398",77.6317
　大肚區,"1,842","13,345","19,932","35,119",466,"35,585",1,"35,586","10,616","46,202",77.0205
　龍井區,"2,487","16,827","27,181","46,495",719,"47,214",0,"47,214","14,886","62,100",76.0290
　霧峰區,"2,132","15,587","23,180","40,899",450,"41,349",1,"41,350","12,468","53,818",76.8312
　太平區,"5,708","43,313","65,743","114,764","1,287","116,051",0,"116,051","39,870","155,921",74.4294
　大里區,"6,541","44,782","74,935","126,258","1,394","127,652",2,"127,654","40,358","168,012",75.9779
　和平區,234,"4,097","2,117","6,448",68,"6,516",0,"6,516","2,684","9,200",70.8261
