第15任總統副總統選舉候選人在新竹縣各鄉(鎮、市、區)得票數一覽表,,,,,,,,,,,
鄉(鎮、市、區)別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
總　計,"18,435","154,224","152,380","325,039","3,970","329,009",2,"329,011","109,038","438,049",75.1078
　竹北市,"6,576","42,591","56,892","106,059","1,364","107,423",1,"107,424","30,995","138,419",77.6071
　竹東鎮,"3,202","29,892","23,445","56,539",677,"57,216",0,"57,216","19,949","77,165",74.1476
　新埔鎮,993,"9,446","10,182","20,621",249,"20,870",0,"20,870","7,180","28,050",74.4029
　關西鎮,772,"9,016","7,673","17,461",214,"17,675",1,"17,676","6,000","23,676",74.6537
　湖口鄉,"2,630","22,354","19,949","44,933",529,"45,462",0,"45,462","16,603","62,065",73.2490
　新豐鄉,"1,866","14,817","15,881","32,564",389,"32,953",0,"32,953","11,761","44,714",73.6973
　芎林鄉,712,"6,554","5,393","12,659",172,"12,831",0,"12,831","4,036","16,867",76.0716
　橫山鄉,389,"4,685","3,023","8,097",100,"8,197",0,"8,197","2,763","10,960",74.7901
　北埔鄉,287,"3,220","2,323","5,830",62,"5,892",0,"5,892","1,973","7,865",74.9142
　寶山鄉,563,"4,594","4,253","9,410",93,"9,503",0,"9,503","3,109","12,612",75.3489
　峨眉鄉,144,"1,882","1,593","3,619",38,"3,657",0,"3,657","1,190","4,847",75.4487
　尖石鄉,208,"3,291","1,185","4,684",53,"4,737",0,"4,737","2,328","7,065",67.0488
　五峰鄉,93,"1,882",588,"2,563",30,"2,593",0,"2,593","1,151","3,744",69.2575
