第15任總統副總統選舉候選人在彰化縣各鄉(鎮、市、區)得票數一覽表,,,,,,,,,,,
鄉(鎮、市、區)別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
總　計,"35,060","291,835","436,336","763,231","10,277","773,508",13,"773,521","261,986","1,035,507",74.6985
　彰化市,"7,159","56,291","79,169","142,619","1,787","144,406",6,"144,412","41,260","185,672",77.7748
　鹿港鎮,"2,325","17,172","30,961","50,458",731,"51,189",2,"51,191","17,395","68,586",74.6348
　和美鎮,"2,682","20,535","30,800","54,017",725,"54,742",1,"54,743","18,378","73,121",74.8649
　線西鄉,577,"4,159","5,188","9,924",149,"10,073",0,"10,073","3,562","13,635",73.8761
　伸港鄉,"1,039","8,491","12,207","21,737",325,"22,062",1,"22,063","7,765","29,828",73.9641
　福興鄉,"1,216","9,368","17,181","27,765",367,"28,132",0,"28,132","10,469","38,601",72.8789
　秀水鄉,"1,056","8,559","14,089","23,704",304,"24,008",0,"24,008","7,399","31,407",76.4416
　花壇鄉,"1,352","11,428","15,524","28,304",366,"28,670",1,"28,671","9,089","37,760",75.9269
　芬園鄉,682,"5,304","8,763","14,749",208,"14,957",0,"14,957","4,781","19,738",75.7777
　員林市,"3,337","29,289","41,622","74,248",921,"75,169",0,"75,169","24,194","99,363",75.6509
　溪湖鎮,"1,434","12,795","17,790","32,019",419,"32,438",0,"32,438","11,260","43,698",74.2322
　田中鎮,982,"10,044","14,033","25,059",291,"25,350",0,"25,350","8,944","34,294",73.9196
　大村鄉,"1,028","8,498","13,320","22,846",249,"23,095",0,"23,095","7,769","30,864",74.8283
　埔鹽鄉,948,"8,768","10,135","19,851",270,"20,121",0,"20,121","7,038","27,159",74.0859
　埔心鄉,"1,017","7,468","13,025","21,510",262,"21,772",0,"21,772","7,240","29,012",75.0448
　永靖鄉,976,"8,217","13,306","22,499",303,"22,802",0,"22,802","7,383","30,185",75.5408
　社頭鄉,"1,145","9,454","15,710","26,309",354,"26,663",0,"26,663","8,504","35,167",75.8182
　二水鄉,344,"3,844","5,357","9,545",128,"9,673",0,"9,673","3,140","12,813",75.4936
　北斗鎮,944,"7,537","11,311","19,792",302,"20,094",0,"20,094","6,713","26,807",74.9580
　二林鎮,"1,212","12,546","15,059","28,817",447,"29,264",0,"29,264","12,074","41,338",70.7920
　田尾鄉,710,"6,256","9,500","16,466",234,"16,700",1,"16,701","5,617","22,318",74.8275
　埤頭鄉,786,"6,512","10,127","17,425",276,"17,701",0,"17,701","7,206","24,907",71.0684
　芳苑鄉,761,"6,659","11,271","18,691",282,"18,973",0,"18,973","9,304","28,277",67.0969
　大城鄉,320,"3,901","4,607","8,828",151,"8,979",0,"8,979","5,135","14,114",63.6177
　竹塘鄉,286,"2,939","5,318","8,543",135,"8,678",0,"8,678","3,656","12,334",70.3584
　溪州鄉,742,"5,801","10,963","17,506",291,"17,797",1,"17,798","6,711","24,509",72.6141
