第15任總統副總統選舉候選人在嘉義縣各鄉(鎮、市、區)得票數一覽表,,,,,,,,,,,
鄉(鎮、市、區)別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
總　計,"11,138","98,810","197,342","307,290","3,748","311,038",10,"311,048","117,592","428,640",72.5639
　太保市,905,"6,934","14,968","22,807",283,"23,090",1,"23,091","7,599","30,690",75.2362
　朴子市,823,"7,657","16,136","24,616",297,"24,913",1,"24,914","9,020","33,934",73.4160
　布袋鎮,493,"5,408","10,089","15,990",260,"16,250",0,"16,250","6,833","23,083",70.3981
　大林鎮,720,"6,396","11,839","18,955",225,"19,180",2,"19,182","6,877","26,059",73.6022
　民雄鄉,"1,773","13,576","28,356","43,705",532,"44,237",2,"44,239","15,282","59,521",74.3217
　溪口鄉,304,"2,305","6,366","8,975",99,"9,074",0,"9,074","3,434","12,508",72.5456
　新港鄉,628,"4,878","13,732","19,238",212,"19,450",0,"19,450","7,011","26,461",73.5044
　六腳鄉,412,"3,666","9,667","13,745",201,"13,946",0,"13,946","6,182","20,128",69.2866
　東石鄉,512,"4,731","8,943","14,186",218,"14,404",1,"14,405","6,740","21,145",68.1201
　義竹鄉,384,"3,616","7,615","11,615",167,"11,782",0,"11,782","4,215","15,997",73.6513
　鹿草鄉,251,"2,725","6,276","9,252",151,"9,403",0,"9,403","4,069","13,472",69.7966
　水上鄉,"1,163","10,433","20,011","31,607",383,"31,990",1,"31,991","10,694","42,685",74.9444
　中埔鄉,985,"9,132","16,947","27,064",268,"27,332",2,"27,334","10,704","38,038",71.8545
　竹崎鄉,846,"7,404","13,350","21,600",220,"21,820",0,"21,820","8,387","30,207",72.2349
　梅山鄉,484,"4,306","6,926","11,716",114,"11,830",0,"11,830","4,664","16,494",71.7231
　番路鄉,273,"2,707","3,966","6,946",67,"7,013",0,"7,013","2,751","9,764",71.8251
　大埔鄉,76,930,"1,224","2,230",23,"2,253",0,"2,253","1,659","3,912",57.5920
　阿里山鄉,106,"2,006",931,"3,043",28,"3,071",0,"3,071","1,471","4,542",67.6134
