第15任總統副總統選舉候選人在花蓮縣各鄉(鎮、市、區)得票數一覽表,,,,,,,,,,,
鄉(鎮、市、區)別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
總　計,"6,869","111,834","66,509","185,212","2,081","187,293",7,"187,300","82,258","269,558",69.4815
　花蓮市,"2,403","33,796","23,372","59,571",639,"60,210",4,"60,214","22,106","82,320",73.1414
　鳳林鎮,221,"4,044","2,280","6,545",73,"6,618",0,"6,618","2,732","9,350",70.7807
　玉里鎮,410,"7,550","3,936","11,896",138,"12,034",0,"12,034","7,810","19,844",60.6430
　新城鄉,451,"7,130","4,004","11,585",133,"11,718",0,"11,718","4,948","16,666",70.3108
　吉安鄉,"1,900","28,957","19,318","50,175",533,"50,708",1,"50,709","19,673","70,382",72.0468
　壽豐鄉,349,"6,333","3,840","10,522",147,"10,669",0,"10,669","4,759","15,428",69.1535
　光復鄉,209,"4,741","2,068","7,018",61,"7,079",1,"7,080","3,919","10,999",64.3604
　豐濱鄉,61,"1,647",561,"2,269",32,"2,301",0,"2,301","1,735","4,036",57.0119
　瑞穗鄉,211,"3,856","1,998","6,065",82,"6,147",0,"6,147","3,711","9,858",62.3554
　富里鄉,228,"3,141","1,740","5,109",71,"5,180",0,"5,180","3,564","8,744",59.2406
　秀林鄉,257,"5,938","2,155","8,350",108,"8,458",0,"8,458","3,673","12,131",69.7222
　萬榮鄉,93,"2,410",706,"3,209",31,"3,240",1,"3,241","1,791","5,032",64.3879
　卓溪鄉,76,"2,291",531,"2,898",33,"2,931",0,"2,931","1,837","4,768",61.4723
