第15任總統副總統選舉候選人在臺東縣各鄉(鎮、市、區)得票數一覽表,,,,,,,,,,,
鄉(鎮、市、區)別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
總　計,"4,163","67,413","44,092","115,668","1,119","116,787",1,"116,788","62,748","179,536",65.0493
　臺東市,"2,201","31,473","24,898","58,572",576,"59,148",0,"59,148","25,727","84,875",69.6884
　成功鎮,212,"4,677","1,936","6,825",51,"6,876",0,"6,876","5,044","11,920",57.6846
　關山鎮,173,"2,662","1,764","4,599",53,"4,652",1,"4,653","2,558","7,211",64.5126
　卑南鄉,331,"5,338","3,962","9,631",88,"9,719",0,"9,719","4,923","14,642",66.3775
　鹿野鄉,128,"2,240","1,755","4,123",52,"4,175",0,"4,175","2,504","6,679",62.5094
　池上鄉,149,"2,213","1,768","4,130",37,"4,167",0,"4,167","2,777","6,944",60.0086
　東河鄉,157,"2,664","1,321","4,142",39,"4,181",0,"4,181","3,257","7,438",56.2113
　長濱鄉,106,"2,307","1,010","3,423",39,"3,462",0,"3,462","2,790","6,252",55.3743
　太麻里鄉,196,"3,632","2,278","6,106",61,"6,167",0,"6,167","3,226","9,393",65.6553
　大武鄉,75,"1,928",855,"2,858",26,"2,884",0,"2,884","2,072","4,956",58.1921
　綠島鄉,49,"1,189",527,"1,765",19,"1,784",0,"1,784","1,618","3,402",52.4397
　海端鄉,63,"1,439",397,"1,899",15,"1,914",0,"1,914","1,213","3,127",61.2088
　延平鄉,49,"1,348",406,"1,803",26,"1,829",0,"1,829",953,"2,782",65.7441
　金峰鄉,58,"1,785",341,"2,184",12,"2,196",0,"2,196",691,"2,887",76.0651
　達仁鄉,61,"1,510",352,"1,923",11,"1,934",0,"1,934","1,027","2,961",65.3158
　蘭嶼鄉,155,"1,008",522,"1,685",14,"1,699",0,"1,699","2,368","4,067",41.7753
